keys,en,ja
t77328d3ce1,*sob*,
tfd859cb223,What's wrong?,
t187c9383a6,"I was supposed to deliver these [b]Taiyaki[/b], but... now they are all on the rooftops",
t82cd15e0b2,How did that happen?,
t8f6d95f160,"nevermind that, can you help me pick up the [b]Taiyaki[/b]? I have collected the ones I lost on the ground, but I'm afraid of heights so I don't want to climb the rooftops.",
t00c60f0411,Sure,
tbec60aa4cc,"thanks, *sob*, this is how they look like, there should be 4 more on the rooftops.",
te4f646a1e5,*ignore her*,
t286dfd6069,thx,
t0b4dd79435,The [b]Taiyaki[/b] should be on the rooftops around us here,
te3feaca415,thanks for your help earlier!,
ta70012190d,"I remember you! You helped me before, thanks again.",
Taiyaki Girl,Taiyaki Girl,
