keys,en,ja
OPT_FULLSCREEN,Fullscreen,フルスクリーン
OPT_BORDERLESS,Borderless,ボーダーレス
OPT_VSYNC,Vsync,Vsync
OPT_VOLUME_MASTER,Master,マスター
OPT_VOLUME_BGM,BGM,BGM
OPT_VOLUME_SFX,SFX,SFX
OPT_LANG_EN,English,English
OPT_LANG_JA,日本語,日本語
MENU_BACK,Back,もどる
MENU_START,Play,プレイ
MENU_RESUME,Resume,つづきから
MENU_OPTIONS,Options,設定
MENU_QUIT,Quit,おわり
PAUSE_TEXT,[center]Game is paused,ゲーム提出
Q_COLLECT_TAIYAKI,Collect [b]Taiyaki[/b],[b]たい焼き[/b]を集める
Q_COLLECT_TAIYAKI_MARKERS,Jump onto the rooftop,屋上に飛び乗る
Q_STAGE2_SQUASH_BUGS,Squash [b]Bug Nests[/b],[b]虫の巣[/b]を押しつぶす
Q_STAGE2_SQUASH_BUGS_MARKERS,Jump on the marked bug nests,マークされた虫の巣を潰つぶす
Q_STAGE2_AFTER_SQUASH,Speak with Kassan,かっさんと話しかける
Q_STAGE3_SQUASH_BUGS,Squash [b]Bug Nests[/b],[b]虫の巣[/b]を押しつぶす
Q_STAGE3_SIMON_SAYS,Help Kassan get out,かっさんを助ける
Q_VISIT_CAMELLIA_ISLAND,Leave the Area,エリアを離れろう
Q_COLLECT_DOUGH,Find the [b]Pizza Dough[/b],[b]ピザ生地[/b]を探す
Q_COLLECT_PINEAPPLES,Get some [b]Pineapples[/b],[b]パインアップル[/b]を手に入れる
Q_COLLECT_PINEAPPLES_MARKERS,Jump onto the stone pillars at the sea,海の石柱に飛び乗ろう
